ts,tag,exit,redactions_file,backend,mode,candidates,semantic,semantic_threshold,echo_penalty,prior_weight,full_pool,loosen,tightness_sweep,no_length_hint,fim_only,exact,near_miss,off_target,mean_score,metric,blind_exact,candidate_recall_at_k,blind_exact_rate,candidate_recall_rate,llada_url,llada_timeout,llada_steps,llada_temperature,llada_remasking,llada_gen_length,llada_block_length,truncated,fim_truncated,chat_truncated,empty_responses,artifact_filtered,fallback_chat,fim_budget_min,fim_budget_max,fim_budget_mean,deltas,notes
20260803-193255,smoke_dry,0,redactions.json,echo,,6,True,0.7,0.5,0.0,False,0,,,,0,0,7,-0.08046667387520808,mean best-candidate contrastive score,,,,,,,,,,,,,,,,,,,,,,
20260803-193339,baseline_sem,0,redactions_broad.json,mercury,fim,6,True,0.7,0.5,0.0,False,0,,,,5,2,14,0.5279355591404108,mean best-candidate contrastive score,,,,,,,,,,,,,,,,,,,,,,
20260803-193339,chat,0,redactions_broad.json,mercury,chat,6,True,0.7,0.5,0.0,False,0,,,,4,1,16,0.46543776865449804,mean best-candidate contrastive score,,,,,,,,,,,,,,,,,,,,,,
20260803-193339,echo_off,0,redactions_broad.json,mercury,fim,6,True,0.7,0.0,0.0,False,0,,,,5,2,14,0.5519761878447065,mean best-candidate contrastive score,,,,,,,,,,,,,,,,,,,,,,
20260803-193339,prior05,0,redactions_broad.json,mercury,fim,6,True,0.7,0.5,0.5,False,0,,,,4,4,13,0.5535572161449229,mean best-candidate final score,,,,,,,,,,,,,,,,,,,,,,
20260803-193340,sweep,0,redactions_broad.json,mercury,fim,6,True,0.7,0.5,0.5,False,0,"0,3,5,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,0:5/3/13/0.600;3:5/3/13/0.601;5:5/3/13/0.619;10:5/3/13/0.676,
20260803-193637,no_len_hint,0,redactions_broad.json,mercury,chat,6,True,0.7,0.5,0.0,False,0,,True,,4,1,16,0.4307504419703611,mean best-candidate contrastive score,,,,,,,,,,,,,,,,,,,,,,
20260803-224908,synthetic_v2_baseline,0,data/synthetic_v2/test.json,mercury,fim,6,False,0.7,0.5,0.0,True,0,,False,,2,0,0,,mean best-candidate contrastive score,2,2,0.2,0.2,,,,,,,,,,,,,,,,,,
20260803-230220,synthetic_v2_truncation_filtered,0,data/synthetic_v2/test.json,mercury,fim,6,False,0.7,0.5,0.0,True,0,,False,,2,0,0,,mean best-candidate contrastive score,1,2,0.1,0.2,,,,,,,,20,20,0,0,2,7,,,,,
20260803-230840,synthetic_v2_chat_only,0,data/synthetic_v2/test.json,mercury,chat,6,False,0.7,0.5,0.0,True,0,,False,,4,0,0,,mean best-candidate contrastive score,3,4,0.3,0.4,,,,,,,,0,0,0,0,0,0,,,,,
20260803-231358,synthetic_v2_fim_tight,0,data/synthetic_v2/test.json,mercury,fim,6,False,0.7,0.5,0.0,True,0,,False,True,0,0,0,,mean best-candidate contrastive score,0,0,0.0,0.0,,,,,,,,34,34,0,0,1,0,8,16,12.0,,
20260804-004703,llada_smoke,0,redactions.json,llada,,2,False,0.7,0.5,0.0,False,0,,False,False,0,0,0,,mean best-candidate contrastive score,0,0,0.0,0.0,http://gpu-desktop:8000,300.0,8,0.0,low_confidence,,,0,0,0,0,0,0,,,,,
20260804-010202,llada_smoke,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sidecar written (run may have crashed before grading)
20260804-010626,llada_smoke,0,redactions.json,llada,,6,False,0.7,0.5,0.0,False,0,,False,False,3,0,0,,mean best-candidate contrastive score,3,3,0.42857142857142855,0.42857142857142855,http://gpu-desktop:8000,300.0,64,0.8,low_confidence,,,0,0,0,0,14,0,,,,,
20260804-013136,llada_low,0,redactions.json,llada,,8,False,0.7,0.5,0.0,False,0,,False,False,5,0,0,,mean best-candidate contrastive score,5,5,0.7142857142857143,0.7142857142857143,http://gpu-desktop:8000,300.0,64,0.8,low_confidence,,,0,0,0,0,18,0,,,,,
20260804-014304,llada_random,0,redactions.json,llada,,8,False,0.7,0.5,0.0,False,0,,False,False,5,0,0,,mean best-candidate contrastive score,4,5,0.5714285714285714,0.7142857142857143,http://gpu-desktop:8000,300.0,64,0.8,random,,,0,0,0,0,7,0,,,,,
